epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,8588.67,0.93814,0.55203,0.92472,0.90579,0.72947,0.81515,0.58875,0.95626,0.53634,0.95535,0.000810686,0.000810686,0.000810686
131,8654.34,0.94289,0.55824,0.92859,0.90737,0.72974,0.81516,0.58786,0.95457,0.53652,0.95459,0.000793714,0.000793714,0.000793714
132,8719.99,0.93658,0.55481,0.92736,0.90277,0.73115,0.8154,0.58943,0.95685,0.53543,0.95521,0.000776743,0.000776743,0.000776743
133,8785.61,0.93223,0.54488,0.92336,0.91084,0.72666,0.81577,0.58891,0.95631,0.5349,0.95526,0.000759771,0.000759771,0.000759771
134,8851.31,0.92721,0.54886,0.92625,0.91397,0.72596,0.81503,0.58843,0.95667,0.53435,0.95525,0.0007428,0.0007428,0.0007428
135,8917.16,0.9302,0.55073,0.92572,0.91315,0.7275,0.8162,0.58964,0.95541,0.53291,0.95562,0.000725829,0.000725829,0.000725829
136,8982.89,0.93015,0.54986,0.92545,0.91492,0.72826,0.81721,0.59033,0.95358,0.53245,0.95504,0.000708857,0.000708857,0.000708857
137,9048.5,0.92718,0.54671,0.92565,0.91341,0.7278,0.81735,0.59136,0.95119,0.53137,0.95404,0.000691886,0.000691886,0.000691886
138,9113.94,0.92057,0.54169,0.92397,0.91151,0.72922,0.81709,0.59167,0.95035,0.52991,0.95348,0.000674914,0.000674914,0.000674914
139,9180.14,0.92558,0.54487,0.92299,0.91034,0.72959,0.81706,0.59108,0.9507,0.53075,0.95424,0.000657943,0.000657943,0.000657943
140,9245.86,0.91984,0.54151,0.92136,0.90878,0.72954,0.81563,0.59228,0.95127,0.52995,0.95483,0.000640971,0.000640971,0.000640971
141,9311.55,0.92612,0.54444,0.9229,0.90559,0.73082,0.81514,0.59165,0.95072,0.53049,0.95447,0.000624,0.000624,0.000624
142,9377.32,0.92155,0.54334,0.92449,0.90165,0.7339,0.81611,0.59184,0.95146,0.53094,0.95451,0.000607029,0.000607029,0.000607029
143,9443.31,0.9253,0.54351,0.92349,0.9073,0.7298,0.81585,0.59093,0.95061,0.53072,0.9542,0.000590057,0.000590057,0.000590057
144,9508.96,0.91431,0.53807,0.9178,0.90182,0.73494,0.8166,0.59282,0.95236,0.53108,0.95468,0.000573086,0.000573086,0.000573086
145,9574.45,0.92137,0.54139,0.92233,0.90502,0.7322,0.81586,0.59234,0.95208,0.53087,0.95485,0.000556114,0.000556114,0.000556114
146,9640.38,0.90866,0.53435,0.91791,0.90612,0.73272,0.81499,0.59261,0.95269,0.53019,0.9556,0.000539143,0.000539143,0.000539143
147,9706.44,0.91937,0.53943,0.92077,0.91442,0.73024,0.81608,0.59245,0.9527,0.52926,0.95539,0.000522171,0.000522171,0.000522171
148,9772.22,0.90841,0.53377,0.91845,0.91281,0.72798,0.81742,0.59253,0.95266,0.53003,0.9555,0.0005052,0.0005052,0.0005052
149,9837.95,0.91558,0.53647,0.91711,0.91142,0.72748,0.81711,0.59342,0.95216,0.53067,0.95538,0.000488229,0.000488229,0.000488229
150,9903.78,0.9077,0.53187,0.92042,0.91109,0.7282,0.81675,0.5936,0.95224,0.53084,0.95548,0.000471257,0.000471257,0.000471257
151,9969.88,0.91631,0.53695,0.92029,0.89899,0.73564,0.81657,0.59356,0.95184,0.53092,0.95557,0.000454286,0.000454286,0.000454286
152,10035.8,0.91045,0.53491,0.91869,0.89883,0.73582,0.81768,0.59384,0.95275,0.53104,0.95599,0.000437314,0.000437314,0.000437314
153,10101.3,0.90245,0.52989,0.91656,0.89956,0.73636,0.81752,0.59369,0.95275,0.53114,0.95605,0.000420343,0.000420343,0.000420343
154,10166.8,0.91162,0.53293,0.91825,0.906,0.73312,0.81748,0.59398,0.95292,0.53135,0.95616,0.000403371,0.000403371,0.000403371
155,10232.8,0.91059,0.53181,0.91935,0.90371,0.7354,0.81785,0.59425,0.95356,0.53216,0.95642,0.0003864,0.0003864,0.0003864
156,10298.5,0.90315,0.52904,0.91424,0.90637,0.73068,0.81681,0.5945,0.9542,0.53266,0.95715,0.000369429,0.000369429,0.000369429
157,10364.2,0.90134,0.52773,0.91635,0.90853,0.73071,0.81796,0.59374,0.95482,0.53306,0.95715,0.000352457,0.000352457,0.000352457
158,10430,0.89824,0.52432,0.91177,0.90897,0.72937,0.81721,0.59332,0.95487,0.53187,0.95697,0.000335486,0.000335486,0.000335486
159,10496,0.90072,0.52923,0.91658,0.91006,0.72937,0.81742,0.59295,0.95454,0.53125,0.95702,0.000318514,0.000318514,0.000318514
160,10561.8,0.89314,0.52436,0.91521,0.9116,0.72861,0.81791,0.59252,0.95518,0.53088,0.95725,0.000301543,0.000301543,0.000301543
161,10627.8,0.9027,0.52562,0.91373,0.91086,0.72956,0.81792,0.59282,0.955,0.53127,0.9574,0.000284571,0.000284571,0.000284571
162,10693.4,0.89827,0.52783,0.9173,0.91278,0.72949,0.81814,0.59277,0.95499,0.53136,0.95746,0.0002676,0.0002676,0.0002676
163,10759.3,0.89454,0.52151,0.91306,0.91361,0.72863,0.81729,0.59284,0.95476,0.531,0.95736,0.000250629,0.000250629,0.000250629
