epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,5203.75,0.5301,0.29579,0.93275,0.98361,0.96626,0.98394,0.79264,0.62194,0.29815,0.84524,0.00131983,0.00131983,0.00131983
101,5255.54,0.52453,0.29453,0.93221,0.9828,0.96879,0.98592,0.80245,0.62297,0.30067,0.84623,0.00130286,0.00130286,0.00130286
102,5307.44,0.52692,0.30086,0.92951,0.98088,0.9761,0.98612,0.79873,0.6189,0.29335,0.84406,0.00128589,0.00128589,0.00128589
103,5359.1,0.52388,0.29492,0.92759,0.98146,0.97299,0.98531,0.79154,0.62085,0.29647,0.84273,0.00126891,0.00126891,0.00126891
104,5410.89,0.53145,0.30064,0.93502,0.97653,0.97298,0.98617,0.79542,0.61955,0.29873,0.8393,0.00125194,0.00125194,0.00125194
105,5462.92,0.51988,0.29595,0.92295,0.98194,0.96649,0.98525,0.79658,0.61716,0.29923,0.83396,0.00123497,0.00123497,0.00123497
106,5514.58,0.53082,0.29524,0.92722,0.98211,0.97274,0.98386,0.7909,0.62701,0.29825,0.83931,0.001218,0.001218,0.001218
107,5566.67,0.52335,0.29238,0.934,0.98317,0.96983,0.98318,0.79388,0.62418,0.29442,0.84083,0.00120103,0.00120103,0.00120103
108,5618.52,0.52024,0.29162,0.92706,0.98495,0.96266,0.98397,0.79397,0.62404,0.29712,0.84513,0.00118406,0.00118406,0.00118406
109,5670.62,0.52382,0.29431,0.92464,0.98599,0.9679,0.98425,0.79856,0.6239,0.2918,0.84438,0.00116709,0.00116709,0.00116709
110,5722.42,0.51221,0.28517,0.93003,0.98199,0.96196,0.98459,0.79718,0.61813,0.29126,0.84225,0.00115011,0.00115011,0.00115011
111,5774.31,0.513,0.28588,0.92777,0.97837,0.96947,0.98539,0.79612,0.62279,0.28886,0.84414,0.00113314,0.00113314,0.00113314
112,5826.5,0.51376,0.28663,0.9202,0.97466,0.97583,0.98498,0.7962,0.61945,0.28803,0.84294,0.00111617,0.00111617,0.00111617
113,5878.16,0.51397,0.28541,0.9241,0.9845,0.97229,0.9863,0.7984,0.61235,0.28516,0.84057,0.0010992,0.0010992,0.0010992
